service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3595926,0,0,0,0,0,0,0,20210402,20210625
3577172,0,0,0,0,0,0,0,20210404,20210523
13595920,0,0,0,0,0,0,0,20210424,20210501
3595922,0,0,0,0,0,0,0,20210424,20210501
3595923,0,0,0,0,0,0,0,20210402,20210625
13595922,0,0,0,0,0,0,0,20210425,20210502
13595923,0,0,0,0,0,0,0,20210403,20210626
3595924,0,0,0,0,0,0,0,20210324,20210630
13595924,0,0,0,0,0,0,0,20210325,20210701
3595925,0,0,0,0,0,0,0,20210424,20210501
13577185,0,0,0,0,0,0,0,20210703,20210814
3577178,0,0,0,0,0,0,0,20210702,20210813
13577183,0,0,0,0,0,0,0,20210704,20210815
3595920,0,0,0,0,0,0,0,20210423,20210430
3577179,0,0,0,0,0,0,0,20210704,20210815
3595921,0,0,0,0,0,0,0,20210324,20210630
13577181,0,0,0,0,0,0,0,20210702,20210813
3577174,0,0,0,0,0,0,0,20210704,20210815
3577173,0,0,0,0,0,0,0,20210701,20210812
3577176,0,0,0,0,0,0,0,20210703,20210814
13577180,0,0,0,0,0,0,0,20210405,20210524
13595925,0,0,0,0,0,0,0,20210425,20210502
13595915,0,0,0,0,0,0,0,20210328,20210627
13595926,0,0,0,0,0,0,0,20210403,20210626
13595917,0,0,0,0,0,0,0,20210329,20210628
13595916,0,0,0,0,0,0,0,20210424,20210501
13595919,0,0,0,0,0,0,0,20210328,20210627
13595918,0,0,0,0,0,0,0,20210420,20210430
3577183,0,0,0,0,0,0,0,20210703,20210814
3595913,0,0,0,0,0,0,0,20210328,20210627
3595914,0,0,0,0,0,0,0,20210419,20210429
3577181,0,0,0,0,0,0,0,20210701,20210812
3577180,0,0,0,0,0,0,0,20210404,20210523
3595917,0,0,0,0,0,0,0,20210328,20210627
3595918,0,0,0,0,0,0,0,20210419,20210429
3595915,0,0,0,0,0,0,0,20210327,20210626
3595916,0,0,0,0,0,0,0,20210423,20210430
13577172,0,0,0,0,0,0,0,20210405,20210524
3577185,0,0,0,0,0,0,0,20210702,20210813
13577176,0,0,0,0,0,0,0,20210704,20210815
13577179,0,0,0,0,0,0,0,20210705,20210816
13577178,0,0,0,0,0,0,0,20210703,20210814
3595919,0,0,0,0,0,0,0,20210327,20210626
