service_id,date,exception_type
3595926,20210402,1
3595926,20210409,1
3595926,20210416,1
3595926,20210507,1
3595926,20210512,1
3595926,20210514,1
3595926,20210521,1
3595926,20210528,1
3595926,20210604,1
3595926,20210611,1
3595926,20210618,1
3595926,20210625,1
3577172,20210404,1
3577172,20210523,1
13595920,20210424,1
13595920,20210501,1
3595922,20210424,1
3595922,20210501,1
3595923,20210402,1
3595923,20210409,1
3595923,20210416,1
3595923,20210507,1
3595923,20210512,1
3595923,20210514,1
3595923,20210521,1
3595923,20210528,1
3595923,20210604,1
3595923,20210611,1
3595923,20210618,1
3595923,20210625,1
13595922,20210425,1
13595922,20210502,1
13595923,20210403,1
13595923,20210410,1
13595923,20210417,1
13595923,20210508,1
13595923,20210513,1
13595923,20210515,1
13595923,20210522,1
13595923,20210529,1
13595923,20210605,1
13595923,20210612,1
13595923,20210619,1
13595923,20210626,1
3595924,20210324,1
3595924,20210325,1
3595924,20210326,1
3595924,20210329,1
3595924,20210330,1
3595924,20210331,1
3595924,20210401,1
3595924,20210406,1
3595924,20210407,1
3595924,20210408,1
3595924,20210412,1
3595924,20210413,1
3595924,20210414,1
3595924,20210415,1
3595924,20210503,1
3595924,20210504,1
3595924,20210505,1
3595924,20210506,1
3595924,20210510,1
3595924,20210511,1
3595924,20210517,1
3595924,20210518,1
3595924,20210519,1
3595924,20210520,1
3595924,20210525,1
3595924,20210526,1
3595924,20210527,1
3595924,20210531,1
3595924,20210601,1
3595924,20210602,1
3595924,20210603,1
3595924,20210607,1
3595924,20210608,1
3595924,20210609,1
3595924,20210610,1
3595924,20210614,1
3595924,20210615,1
3595924,20210616,1
3595924,20210617,1
3595924,20210621,1
3595924,20210622,1
3595924,20210623,1
3595924,20210624,1
3595924,20210628,1
3595924,20210629,1
3595924,20210630,1
13595924,20210325,1
13595924,20210326,1
13595924,20210327,1
13595924,20210330,1
13595924,20210331,1
13595924,20210401,1
13595924,20210402,1
13595924,20210407,1
13595924,20210408,1
13595924,20210409,1
13595924,20210413,1
13595924,20210414,1
13595924,20210415,1
13595924,20210416,1
13595924,20210504,1
13595924,20210505,1
13595924,20210506,1
13595924,20210507,1
13595924,20210511,1
13595924,20210512,1
13595924,20210518,1
13595924,20210519,1
13595924,20210520,1
13595924,20210521,1
13595924,20210526,1
13595924,20210527,1
13595924,20210528,1
13595924,20210601,1
13595924,20210602,1
13595924,20210603,1
13595924,20210604,1
13595924,20210608,1
13595924,20210609,1
13595924,20210610,1
13595924,20210611,1
13595924,20210615,1
13595924,20210616,1
13595924,20210617,1
13595924,20210618,1
13595924,20210622,1
13595924,20210623,1
13595924,20210624,1
13595924,20210625,1
13595924,20210629,1
13595924,20210630,1
13595924,20210701,1
3595925,20210424,1
3595925,20210501,1
13577185,20210703,1
13577185,20210710,1
13577185,20210717,1
13577185,20210724,1
13577185,20210731,1
13577185,20210807,1
13577185,20210814,1
3577178,20210702,1
3577178,20210709,1
3577178,20210716,1
3577178,20210723,1
3577178,20210730,1
3577178,20210806,1
3577178,20210813,1
13577183,20210704,1
13577183,20210711,1
13577183,20210718,1
13577183,20210725,1
13577183,20210801,1
13577183,20210808,1
13577183,20210815,1
3595920,20210423,1
3595920,20210430,1
3577179,20210704,1
3577179,20210711,1
3577179,20210718,1
3577179,20210725,1
3577179,20210801,1
3577179,20210808,1
3577179,20210815,1
3595921,20210324,1
3595921,20210325,1
3595921,20210326,1
3595921,20210329,1
3595921,20210330,1
3595921,20210331,1
3595921,20210401,1
3595921,20210406,1
3595921,20210407,1
3595921,20210408,1
3595921,20210412,1
3595921,20210413,1
3595921,20210414,1
3595921,20210415,1
3595921,20210503,1
3595921,20210504,1
3595921,20210505,1
3595921,20210506,1
3595921,20210510,1
3595921,20210511,1
3595921,20210517,1
3595921,20210518,1
3595921,20210519,1
3595921,20210520,1
3595921,20210525,1
3595921,20210526,1
3595921,20210527,1
3595921,20210531,1
3595921,20210601,1
3595921,20210602,1
3595921,20210603,1
3595921,20210607,1
3595921,20210608,1
3595921,20210609,1
3595921,20210610,1
3595921,20210614,1
3595921,20210615,1
3595921,20210616,1
3595921,20210617,1
3595921,20210621,1
3595921,20210622,1
3595921,20210623,1
3595921,20210624,1
3595921,20210628,1
3595921,20210629,1
3595921,20210630,1
13577181,20210702,1
13577181,20210706,1
13577181,20210707,1
13577181,20210708,1
13577181,20210709,1
13577181,20210713,1
13577181,20210714,1
13577181,20210715,1
13577181,20210716,1
13577181,20210720,1
13577181,20210721,1
13577181,20210722,1
13577181,20210723,1
13577181,20210727,1
13577181,20210728,1
13577181,20210729,1
13577181,20210730,1
13577181,20210803,1
13577181,20210804,1
13577181,20210805,1
13577181,20210806,1
13577181,20210810,1
13577181,20210811,1
13577181,20210812,1
13577181,20210813,1
3577174,20210704,1
3577174,20210711,1
3577174,20210718,1
3577174,20210725,1
3577174,20210801,1
3577174,20210808,1
3577174,20210815,1
3577173,20210701,1
3577173,20210705,1
3577173,20210706,1
3577173,20210707,1
3577173,20210708,1
3577173,20210712,1
3577173,20210713,1
3577173,20210714,1
3577173,20210715,1
3577173,20210719,1
3577173,20210720,1
3577173,20210721,1
3577173,20210722,1
3577173,20210726,1
3577173,20210727,1
3577173,20210728,1
3577173,20210729,1
3577173,20210802,1
3577173,20210803,1
3577173,20210804,1
3577173,20210805,1
3577173,20210809,1
3577173,20210810,1
3577173,20210811,1
3577173,20210812,1
3577176,20210703,1
3577176,20210710,1
3577176,20210717,1
3577176,20210724,1
3577176,20210731,1
3577176,20210807,1
3577176,20210814,1
13577180,20210405,1
13577180,20210524,1
13595925,20210425,1
13595925,20210502,1
13595915,20210328,1
13595915,20210404,1
13595915,20210411,1
13595915,20210418,1
13595915,20210509,1
13595915,20210516,1
13595915,20210523,1
13595915,20210530,1
13595915,20210606,1
13595915,20210613,1
13595915,20210620,1
13595915,20210627,1
13595926,20210403,1
13595926,20210410,1
13595926,20210417,1
13595926,20210508,1
13595926,20210513,1
13595926,20210515,1
13595926,20210522,1
13595926,20210529,1
13595926,20210605,1
13595926,20210612,1
13595926,20210619,1
13595926,20210626,1
13595917,20210329,1
13595917,20210406,1
13595917,20210412,1
13595917,20210419,1
13595917,20210426,1
13595917,20210503,1
13595917,20210510,1
13595917,20210514,1
13595917,20210517,1
13595917,20210525,1
13595917,20210531,1
13595917,20210607,1
