from_stop_id,to_stop_id,transfer_type,min_transfer_time
4117655,9048848,2,46
9048874,9375389,2,33
7661341,9048875,2,146
9216781,6456051,2,93
9216781,6456052,2,115
9195977,9216775,2,134
8926137,9216715,2,119
8926137,9216714,2,117
9195977,9216774,2,140
9216783,6456144,2,26
9049287,9048848,2,99
4677650,9216782,2,27
4677650,9216783,2,27
3731650,9216729,2,79
9048874,9375390,2,33
3731650,9216728,2,83
5747183,9216715,2,104
5747183,9216714,2,106
8926253,9216723,2,24
8926253,9216722,2,40
9216753,7260976,2,16
9216753,7260977,2,45
4015899,9216779,2,27
3689919,9216720,2,74
3689919,9216721,2,66
4015899,9216778,2,23
9216780,5121484,2,105
8926252,9048849,2,36
9216781,6456077,2,93
8926180,9048847,2,135
6640164,9048843,2,54
5158043,9048877,2,23
9128733,9048879,2,132
4035530,9048846,2,51
5775609,9048873,2,81
9416758,9048854,2,60
4614717,9216717,2,139
5158032,9216764,2,38
9216780,8766096,2,75
9216780,8766097,2,105
5158032,9048870,2,38
9216782,6456082,2,27
5158032,9216765,2,7
9216793,9216715,2,85
9216793,9216714,2,90
4117663,9048852,2,134
9216772,9375389,2,33
5991385,9216714,2,117
5991385,9216715,2,117
5158045,9216781,2,67
4117665,9048852,2,115
5158045,9216780,2,76
4035524,9048845,2,108
9048878,1662797,2,225
9048878,1662798,2,225
9216746,3972564,2,121
9048683,9048845,2,124
5747180,9048845,2,108
4658218,9216738,2,54
4658218,9216739,2,59
4035535,9048848,2,32
7170688,9048879,2,132
5775608,9048874,2,27
9216772,9375390,2,33
4614716,9216721,2,75
4614716,9216720,2,63
3741090,9048861,2,135
5158037,9216770,2,48
4036936,9048848,2,80
4614713,9216718,2,135
5158037,9216771,2,38
4614713,9216719,2,134
4035527,9216715,2,104
4035527,9216714,2,106
4035570,9216717,2,139
9048868,4798990,2,133
9048868,4798991,2,126
9048878,6449066,2,75
4016819,9048871,2,135
5747181,9216715,2,119
9416753,9216733,2,109
9416753,9216736,2,82
8926250,9048850,2,78
5158037,9048873,2,48
6673041,9216746,2,121
6673041,9216747,2,144
5158044,9216779,2,36
6673041,9048861,2,121
5158044,9216778,2,45
8007465,9048852,2,59
5775606,9048875,2,146
9216761,4799008,2,142
9216761,4799009,2,133
9160980,9216772,2,36
8926313,9048849,2,36
9160980,9216773,2,36
5991365,9048843,2,42
8926318,9216714,2,106
4015893,9216776,2,81
4015893,9216777,2,99
8926250,9216725,2,76
6748611,9216751,2,107
8007432,9216724,2,66
3689918,9216723,2,122
9295893,9216765,2,129
4000548,9048864,2,29
6748611,9216750,2,115
4015899,9048877,2,23
9185041,9048875,2,113
8926250,9216724,2,78
8007432,9216725,2,69
9049250,9048848,2,99
9216794,9216715,2,113
7714433,9048867,2,109
9216794,9216714,2,108
8926318,9216715,2,104
3689922,9048849,2,143
9048857,9416004,2,106
7661302,9048874,2,33
9048857,9416005,2,100
9216781,8766113,2,86
8926257,9048847,2,44
5775613,9048875,2,104
8926079,9048846,2,51
9195978,9048875,2,113
9159900,9216760,2,111
9159900,9216761,2,97
8926251,9216724,2,66
8926251,9216725,2,69
4658219,9048857,2,68
8007465,9216728,2,59
8926080,9048847,2,44
9048938,9216723,2,10
8007465,9216729,2,53
9048938,9216722,2,36
8926258,9216717,2,139
4614711,9216717,2,51
4614711,9216716,2,51
4614712,9216719,2,36
9002447,9216760,2,111
9002447,9216761,2,97
4614712,9216718,2,44
4211764,9216757,2,20
5158041,9216776,2,63
4211764,9216756,2,30
5158041,9216777,2,66
9160980,9048874,2,36
5158042,9216776,2,63
5158042,9216777,2,56
5158041,9048876,2,63
9216738,9416180,2,100
8926254,9048848,2,28
4035531,9216719,2,36
4035531,9216718,2,44
9216780,8766076,2,105
9216738,9416178,2,72
9216738,9416179,2,106
5991321,9216746,2,141
8926252,9216723,2,10
5747236,9216717,2,139
4614705,9216715,2,71
8926252,9216722,2,36
4614705,9216714,2,68
5775612,9048873,2,53
4614617,9048845,2,124
9048860,7985573,2,125
8926178,9216720,2,28
9048860,7985572,2,129
8926178,9216721,2,32
5158029,9216762,2,18
5158029,9216763,2,17
8926256,9216718,2,135
8926256,9216719,2,134
3688570,9216722,2,40
5747197,9216729,2,79
3688570,9216723,2,24
9416752,9048855,2,106
5747197,9216728,2,83
4035531,9048847,2,44
9216783,8092793,2,26
5775613,9216775,2,15
5775613,9216774,2,104
9416762,9216735,2,22
4614617,9216714,2,124
9048906,9048852,2,63
3741091,9216747,2,117
4614761,9216715,2,126
3741091,9216746,2,135
4614617,9216715,2,126
6748621,9048857,2,54
9159900,9048868,2,111
9416762,9216732,2,12
5020461,9048879,2,108
8926175,9216724,2,66
4614761,9216714,2,124
8926175,9216725,2,69
5747180,9216714,2,108
5747180,9216715,2,113
8926134,9216717,2,139
8926079,9216716,2,51
8926079,9216717,2,51
9159836,9216760,2,111
9159836,9216761,2,97
5158030,9048869,2,23
9048906,9216728,2,63
4117664,9048852,2,100
4614760,9048845,2,106
4677650,9048879,2,10
8926136,9216715,2,104
9216781,5121515,2,86
9160979,9216771,2,38
9160979,9216770,2,53
8926136,9216714,2,106
9216739,9416180,2,62
5150850,9216766,2,14
9048861,4035737,2,121
5775607,9048874,2,33
5150850,9216767,2,21
5150795,9216767,2,137
9160981,9216774,2,146
9160981,9216775,2,116
8926254,9216720,2,28
9048683,9216714,2,124
9048683,9216715,2,126
8926254,9216721,2,32
4614624,9216718,2,135
4614624,9216719,2,134
8926127,9216730,2,10
8926087,9048852,2,63
8926127,9216731,2,19
9216739,9416179,2,68
4614756,9216720,2,63
9216739,9416178,2,73
4614756,9216721,2,75
9048878,6456077,2,80
9049424,9048845,2,108
9216747,4035737,2,144
9048879,6456082,2,10
9048941,9216717,2,139
7714396,9216755,2,135
8926133,9216718,2,135
8926133,9216719,2,134
5775608,9216773,2,35
5775608,9216772,2,27
9049423,9216714,2,138
9049423,9216715,2,141
9216782,8092793,2,26
8926129,9216728,2,134
8926181,9216718,2,44
8926129,9216729,2,134
4036942,9216729,2,134
8926181,9216719,2,36
9216780,8766113,2,75
9002448,9216761,2,97
9002448,9216760,2,111
4036943,9216728,2,59
4036943,9216729,2,53
3731651,9048852,2,59
9048938,9048849,2,36
7714435,9048866,2,30
9048939,9048848,2,28
3741091,9048861,2,135
9159837,9048868,2,111
5158039,9216773,2,20
5158039,9216772,2,33
4036944,9048852,2,83
4036942,9216728,2,134
5158034,9048871,2,70
9048878,6456051,2,80
9048878,6456052,2,105
3688567,9048850,2,78
9185041,9216774,2,113
9216755,1716,2,317
9185041,9216775,2,123
4035524,9216714,2,108
4035524,9216715,2,113
4614712,9048847,2,44
3688572,9216721,2,39
3741090,9216747,2,117
3688572,9216720,2,51
8926136,9048845,2,106
7714433,9216759,2,107
4614628,9216717,2,139
3741090,9216746,2,135
